Games:,14,vs,12
Winners_Forced:,26,vs,28
1st serve:,62,vs,60
1st serve win:,90,vs,63
2nd serve win:,77,vs,61
Net points: ,67,vs,40
BP total:,0,vs,3
BP won:,0,vs,2
Receive:,30,vs,39
Unforced:,9,vs,11
Net approaches:,4,vs,5
