Games:,14,vs,8
Winners_Forced:,24,vs,10
1st serve:,51,vs,81
1st serve win:,74,vs,76
2nd serve win:,54,vs,40
Net points: ,76,vs,88
BP total:,3,vs,2
BP won:,1,vs,2
Receive:,33,vs,47
Unforced:,18,vs,6
Net approaches:,17,vs,8
