Games:,14,vs,6
Winners_Forced:,18,vs,14
1st serve:,66,vs,69
1st serve win:,74,vs,73
2nd serve win:,58,vs,80
Net points: ,56,vs,67
BP total:,7,vs,3
BP won:,2,vs,3
Receive:,40,vs,75
Unforced:,13,vs,3
Net approaches:,6,vs,11
