Games:,14,vs,7
Winners_Forced:,24,vs,19
1st serve:,68,vs,56
1st serve win:,81,vs,70
2nd serve win:,67,vs,50
Net points: ,67,vs,50
BP total:,0,vs,4
BP won:,0,vs,4
Receive:,28,vs,67
Unforced:,13,vs,7
Net approaches:,9,vs,6
